record_id,vendor,county,dob,ssn,disposition,record_date,ingest_time,age,mis_county,mis_dob,mis_ssn,mis_disposition,latency_hour,latency_minute
A001,VendorA,Cook County,1985-04-12,123-45-6789,Convicted,2024-12-28 08:30:00,2024-12-29 10:15:00,40,0,0,0,0,26,1545
A002,VendorA,Cook County,1990-09-21,,Dismissed,2024-12-28 09:10:00,2024-12-29 11:00:00,35,0,0,1,0,26,1550
A003,VendorA,Los Angeles County,1978-01-05,987-65-4321,Pending,2024-12-27 14:20:00,2024-12-28 18:45:00,48,0,0,0,0,28,1705
A004,VendorA,Los Angeles County,1982-06-18,555-22-1111,Convicted,2024-12-27 16:40:00,2024-12-28 17:10:00,43,0,0,0,0,25,1470
A005,VendorA,Harris County,1995-11-02,,Convicted,2024-12-26 10:05:00,2024-12-28 12:30:00,30,0,0,1,0,50,3025
A006,VendorA,Harris County,1988-03-14,444-88-9999,Dismissed,2024-12-26 13:55:00,2024-12-28 14:05:00,37,0,0,0,0,49,2890
A007,VendorA,Cook County,1971-07-09,333-77-6666,Convicted,2024-12-29 08:00:00,2024-12-30 09:30:00,54,0,0,0,0,25,1530
A008,VendorA,Maricopa County,1992-12-30,,Pending,2024-12-28 15:10:00,2024-12-29 16:40:00,33,0,0,1,0,25,1530
A009,VendorA,Maricopa County,1980-05-22,222-66-5555,Convicted,2024-12-28 17:35:00,2024-12-29 18:50:00,45,0,0,0,0,25,1515
A010,VendorA,Los Angeles County,1976-10-01,111-55-4444,Dismissed,2024-12-29 09:25:00,2024-12-30 10:10:00,49,0,0,0,0,25,1485
B001,VendorB,Cook County,,123-45-6789,Convicted,2024-12-28 08:30:00,2024-12-28 09:00:00,,0,1,0,0,1,30
B002,VendorB,Cook County,1990-09-21,,Unknown,2024-12-28 09:10:00,2024-12-28 09:40:00,35,0,0,1,0,0,30
B003,VendorB,Los Angeles County,,987-65-4321,Pending,2024-12-27 14:20:00,2024-12-27 15:00:00,,0,1,0,0,1,40
B004,VendorB,Los Angeles County,1982-06-18,,Convicted,2024-12-27 16:40:00,2024-12-27 17:05:00,43,0,0,1,0,1,25
B005,VendorB,Harris County,,555-22-1111,,2024-12-26 10:05:00,2024-12-26 10:45:00,,0,1,0,1,0,40
B006,VendorB,Harris County,1988-03-14,,Dismissed,2024-12-26 13:55:00,2024-12-26 14:10:00,37,0,0,1,0,1,15
B007,VendorB,Cook County,,333-77-6666,Convicted,2024-12-29 08:00:00,2024-12-29 08:30:00,,0,1,0,0,0,30
B008,VendorB,Maricopa County,1992-12-30,,Pending,2024-12-28 15:10:00,2024-12-28 15:35:00,33,0,0,1,0,0,25
B009,VendorB,Maricopa County,,222-66-5555,Convicted,2024-12-28 17:35:00,2024-12-28 18:00:00,,0,1,0,0,1,25
B010,VendorB,Los Angeles County,1976-10-01,,Dismissed,2024-12-29 09:25:00,2024-12-29 09:50:00,49,0,0,1,0,0,25
